Fiscal Year,State Name,County,Congressional District,Program Area,Program,Zip Code,Persistent Poverty Community Status,Borrower Name,Project Name,Investment Type,City,Lender Name,Funding Code,NAICS Industry Sector,County FIPS,NAICS National Industry Code,NAICS National Industry,Portfolio Type,Project Announced Description,Investment Dollars,Number of Investments,State Abbr,Award Type,Has Description
2025,Arkansas,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Arkansas Department of Agriculture,AR0749-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub site, three hub/end-user sites and 18 end-user sites throughout 26 counties in predominantly South and East Arkansas with portable telemedicine and distance learning equipment. Medical professionals at Jefferson Regional, Mainline Health Systems and Mid-Delta Health Systems will deliver behavioral health services, including mental health and substance use disorder treatment, to 21 locations benefitting approximately 86,843 individuals.",1000000,1,AR,DL + TM,Yes
2025,California,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Loma Linda University Medical Center,CA0763-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip three end-user sites located in San Bernadino and Riverside counties in California with advance telemedicine equipment. Medical professionals located at Loma Linda University Medical Center will provide follow-up and specialty care via a secure telehealth platform to three end-user sites including Bear Valley Community Services District - Clinic, SAC Health - Blythe and SAC Health - Yermo benefitting approximately 3,554 patients.",434000,1,CA,DL + TM,Yes
2025,Colorado,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Colorado State University,CO0732-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip five hub/end-user sites located in Fremont, Teller, Custer and Chaffe counties in South-Central Colorado with interactive virtual learning labs and with virtual reality equipment. Instructors at CSU Extension--Fremont County, CSU Extension--Teller County, Cripple Creek-Victor Jr. Sr. High School and CSU Extension Mtn. Region office will provide virtual reality programming for distance education in STEM-based competencies including engineering, innovative agricultural technology and architectural design to 12 end-user sites to promote healthy outcomes, workforce readiness and positive youth development. This distance learning project is expected to benefit approximately 3,216 students.",300000,1,CO,DL + TM,Yes
2025,Colorado,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,The Regents of the University of Colorad,CO0733-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub site and eight end-user sites located in Adams, Mineral, Rio Grande, Saguache, Costilla and Conejos counties in Colorado with advanced telemedicine equipment to support primary care providers in delivering high-quality care. Medical Professionals located at University of Colorado School of Medicine will utilize eConsults to provide specialty primary care to five end-user sites benefitting approximately 26,990 rural residents.",402785,1,CO,DL + TM,Yes
2025,Georgia,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Charlton County Board of Education,GA0758-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub site and four end-user sites throughout Charlton County in southern Georgia with computational and audio visual equipment for distance learning and telecounseling. Instructors at Coastal Pines Technical College in Ware County, Georgia and Daybreak Medical PA in Dallas County, Texas will partner with Charlton County Board of Education to serve as educational and telehealth providers to the hub/end-user sites. This project will provide dual enrollment courses for high school students, virtual field trips, cultural experiences and professional development opportunities, as well as address teacher shortages, at four locations benefiting 1,681 students and 119 teachers.",998133,1,GA,DL + TM,Yes
2025,Georgia,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Greater Valdosta United Way,GA0753-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to extend Georgia's 2-1-1 System to residents of 19 counties in rural South Georgia. The 2-1-1 service allows citizens to dial 211 from any phone to be connected to a live human services professional who will have the knowledge and skill set to connect the caller to the appropriate government agency or non-profit human service agency to meet their needs. The Greater Valdosta United Way (GVUW) will, via a memorandum of understanding, utilize the United Way of the Chattahoochee Valley (UWCV) as the call center for these additional counties. This funding will be used to pay for additional equipment, licenses, operators and training for the GVUW call center necessary to support the additional counties. An estimated 431,723 rural residents will benefit from this project.",213000,1,GA,DL + TM,Yes
2025,Georgia,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Montgomery County Board of Education,GA0755-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip two hub/end-user sites throughout Montgomery County in central Georgia with interactive video conferencing and telemedicine equipment. Instructors at Montgomery County Board of Education in Montgomery County will deliver courses and instruction in Science Technology Engineering and Math (STEM), Early Literacy and Family Engagement, Distance Learning for Advanced Courses and Professional Development for Educators, as well as provide telehealth and telecounseling to two locations benefiting 1,922 students.",927507,1,GA,DL + TM,Yes
2025,Georgia,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,East Ga Healthcare Center,GA0759-A,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip two hub sites, one hub/end-user site and 15 end-user sites throughout Appling, Bulloch, Candler, Emanuel, Evans, Jefferson, Jenkins, Montgomery, Screven, Tattnall, Toombs and Treutlen counties in eastern Georgia with computational and video capabilities. Medical professionals at East Georgia Healthcare Center facilities in Emanuel, Bulloch and Toombs counties will deliver primary care, pediatric, optometry, mental health, patient education, case management and employee education to 15 locations benefiting up to 3,025 rural residents.",379048,1,GA,DL + TM,Yes
2025,Georgia,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Seminole County Board of Education,GA0756-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip two hub/end-user sites throughout Seminole County, Georgia with distance learning equipment. Students at Seminole County Board of Education will have access to distance learning courses such as computer science, agricultural education and dual credit classes. This project will benefit 1,350 students.",980690,1,GA,DL + TM,Yes
2025,Georgia,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Turner County Board of Education,GA0757-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip three hub/end-user sites throughout Turner County in Georgia with enhanced distance learning equipment. The project will incorporate technology to strengthen connections between students, parents and teachers. Expanding access to Advanced Placement classes and dual enrollment programs will prepare students for college and career readiness, giving them the tools for long term success. The project is expected to benefit 1,227 students and staff.",862270,1,GA,DL + TM,Yes
2025,Georgia,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Wilcox County School District,GA0754-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip two hub/end-user sites in Wilcox County, Georgia with interactive distance learning equipment. This project will facilitate the delivery of higher education courses, educational enrichment, advanced and specialty coursework and community education to two locations benefiting 3,440 rural residents.",923032,1,GA,DL + TM,Yes
2025,Illinois,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,OSF Healthcare System,IL0733-B,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip three mobile end-user locations that will service Fulton, Knox and Livingston counties in Illinois with digital enabled telehealth tools that will allow providers to assess patients. Medical professionals located at OSF Healthcare System in Peoria, Illinois will deliver healthcare service to three mobile units with medical professionals on board to provide ongoing and preventative healthcare benefitting approximately 16,000 individuals.",750000,1,IL,DL + TM,Yes
2025,Kansas,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Southeast Kansas Mental Health Center,KS0743-B,Grant Funds,,Not Applicable,DLT GRANTS - SUBSTANCE USE DISORDER - MEDICAL,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip eleven hub/end-user sites throughout Allen, Neosho, Bourbon, Anderson, Linn and Woodson counties in southeast Kansas with telemedicine technology. Medical professionals at Southeast Kansas Mental Health Center in Allen, Neosho, Bourbon, Anderson, Linn and Woodson counties will deliver mental health care, including substance and opioid use disorder treatment, Medication Assisted Treatment, suicide prevention services, crisis care and case management services to eleven locations benefiting 52,836 individuals.",856660,1,KS,DL + TM,Yes
2025,Kentucky,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Bowling Green-Warren County Community Ho,KY0770-B,Grant Funds,,Not Applicable,DLT GRANTS - SUBSTANCE USE DISORDER - MEDICAL,Utilities,Not Available,,Not Available,Commercial,"This USDA Rural Development investment will be used to equip one hub site and three end-user sites throughout Logan, Todd and Warren counties in Kentucky with two-way audio-visual equipment. Medical professionals in Bowling Green in Warren County, Kentucky, will deliver medical care for conditions including substance use disorders, diabetes, lung disease and wounds to three locations benefiting 10,057 individuals.",476350,1,KY,DL + TM,Yes
2025,Kentucky,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Bell County Board of Education,KY0778-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip seven hub/end user sites throughout Bell County, Kentucky with advanced distance learning equipment. Instructors at Bell County School districts will deliver advanced coursework, college preparation, career exploration and specialized instruction to students at seven locations benefiting 2,453 students.",870000,1,KY,DL + TM,Yes
2025,Kentucky,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Knox County Board of Education,KY0773-A,Grant Funds,,Not Applicable,DLT GRANTS - SUBSTANCE USE DISORDER - EDUCATIONAL,Utilities,Not Available,,Not Available,Commercial,"This USDA Rural Development investment will be used to equip 11 hub/end-user sites throughout Knox County, Kentucky, with interactive panels, sound bars, Chromebooks and telehealth carts for use in distance learning and telehealth. Instructors at Knox County Public Schools will deliver core and enrichment, dual credit and career and technical education courses. Knox County medical providers will provide workshops and programs to support substance abuse awareness, prevention and coping. The project will be delivered to 11 end-user sites benefiting 4,658 students.",998265,1,KY,DL + TM,Yes
2025,Kentucky,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Magoffin County School District,KY0777-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This USDA Rural Development investment will be used to equip five hub/end-user sites throughout Magoffin County, Kentucky, with advanced two-way interactive video conferencing technology. Instructors in Magoffin County will deliver diverse learning opportunities, as well as gain access to purposeful and interactive professional learning. This project will benefit five locations and 2,165 students and staff.",836348,1,KY,DL + TM,Yes
2025,Kentucky,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Rockcastle County Board of Education,KY0759-B,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This USDA Rural Development investment will be used to equip five hub/end-user sites throughout Rockcastle County in Kentucky with tele-education mobile carts, ViewSonic conferencing systems, digital display video, carts, cabling and view panels for interactive real-time connections. Instructors at Rockcastle County Board of Education will deliver courses to five locations benefiting 1,939 students.",974230,1,KY,DL + TM,Yes
2025,Michigan,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,McKenzie Memorial Hospital,MI0757-B,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip 11 hub sites and 12 end-user sites throughout Sanilac County in eastern Michigan with telemedicine equipment for patient care and video conferencing equipment for clinician education and training. Medical professionals at McKenzie Memorial Hospital and its affiliated health clinics will deliver services including cardiology, orthopedics, general surgery, gastrointestinal care, pulmonology, behavioral health, wound care, nutrition, critical care and primary medical services across the 12 end-user locations benefiting 2,724 rural residents. The project network includes a main hospital (McKenzie Memorial Hospital), ten community clinics providing specialized care and the Sanilac County Jail.",825556,1,MI,DL + TM,Yes
2025,Michigan,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Central Michigan University,MI0741-C,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip four end-user sites located in Midland, Bay, Saginaw and Isabella counties in Michigan with virtual and augmented reality equipment and software applications. Professionals located at Central Michigan University (CMU) will provide distance education technology programming. Students will gain physical experiences with realistic 3D anatomical structures while receiving mobile robotic telepresence instruction from CMU faculty using remote presence devices. This project will leverage leading-edge distance learning technology to introduce and enhance the awareness of careers in healthcare benefitting approximately 300 students.",500000,1,MI,DL + TM,Yes
2025,New Jersey,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Abilities of Northwest Jersey Inc.,NJ0704-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip two hub/end-user sites and two end-user sites located in Hunterdon and Warren counties in New Jersey with distance learning equipment to provide individuals with disabilities access to learning and career opportunities. Educators located at three Abilities of Northwest locations including Phillipsburg, Flemington and Washington will use live script, voice recorders, AI voice recording, software license and Smart Boards to provide individualized support to four end-user sites benefitting 32 individuals.",127000,1,NJ,DL + TM,Yes
2025,Oregon,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Dufur School District 29,OR0738-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip three hub/end-user sites throughout Wasco County in Oregon with distance learning equipment. Instructors at Portland Community College in Multnomah County, Baker Technical Institute in Baker County, Columbia Gorge Community College in Wasco County and the Oregon Veterans Home in Wasco County will deliver technical training, STEM coursework and certified nurse assistant training courses to three locations benefiting 655 students.",960881,1,OR,DL + TM,Yes
2025,Pennsylvania,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,"Cen-Clear Child Services, Inc.",PA0755-C,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub site and 35 end-user sites across Blair, Centre, Clarion, Clearfield, Elk, Huntingdon, Jefferson and Mifflin counties in Pennsylvania with state-of-the-art distance learning equipment, including laptops and Webex-equipped conference rooms. Instructors from Cen-Clear Child Services Inc. in Clearfield County will leverage this technology to deliver impactful instructional content covering essential topics such as mental health, substance use disorder and preschool education benefiting 11,638 rural residents.",803713,1,PA,DL + TM,Yes
2025,Pennsylvania,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Northern Potter School District,PA0765-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip four hub/end-user sites throughout Potter and McKean counties in North Central Pennsylvania. Instructors at the participating schools will deliver dual credit courses, STEM education and remote professional development to four locations benefiting 1,336 rural residents.",356817,1,PA,DL + TM,Yes
2025,Pennsylvania,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Waynesburg University,PA0764-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub site located in Waynesburg County, Pennsylvania with distance learning equipment to deliver online educational programs to students in Greene County, Pennsylvania. Instructors at Waynesburg University will deliver data analysis and information security curriculum via online course studies to approximately 400 students.",680000,1,PA,DL + TM,Yes
2025,South Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,South Carolina State University,SC0744-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub/end-user site located in Orangeburg County in South Carolina with a telemedicine kiosk to enhance access to healthcare services. Medical professionals will virtually connect with patients in Orangeburg County providing telehealth services and benefitting approximately 1,800 individuals.",1000000,1,SC,DL + TM,Yes
2025,Tennessee,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Motlow State Community College,TN0777-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub site and four hub/end-user sites located in Moore, Warren, Lincoln, White and Rutherford counties in Tennessee with distance learning equipment to expand upon current course offerings to rural students. Educators located at the Smyrna, Moore County, Fayetteville and McMinnville campuses will provide STEM learning in a more traditional classroom setting benefitting approximately 32,315 students.",1000000,1,TN,DL + TM,Yes
2025,Texas,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Austin Community College District-Elgin,TX0798-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub/end-user site located in Bastrop County, Texas with distance learning equipment. Instructors at Austin Community College - Elgin will deliver Agricultural Sciences and Culinary instruction in-person and online via ""hyflex"" courses benefitting at least 198 students.",402785,1,TX,DL + TM,Yes
2025,Texas,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Texas A&M University-Commerce,TX0799-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub/end-user site and seven end-user sites located in Hunt County, Texas with telemedicine equipment to alleviate significant barriers to mental health care. Through a dynamic partnership between Texas A&M University - Commerce and healthcare professionals at Glen Oaks Hospital in Greenville, Texas, this project will deliver mental healthcare to five locations benefitting approximately 4,720 individuals.",1750000,1,TX,DL + TM,Yes
2025,Texas,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Texas A&M Health Science Center,TX0728-A,Grant Funds,,Not Applicable,DLT CONGRESSIONALLY DIRECTED SPENDING - GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip five hub/end-user sites located in Menard, McCulloch, Kimble and San Saba counties in Texas with telemedicine equipment to provide high-quality healthcare services to local community members without burdensome travel. Medical professionals located at Texas A&M Health Science Center in College Station, Texas, in partnership with five local health clinics, will provide tele-specialty care using equipment such as a compatible vitals, telehealth monitor and dermascope to five end-user sites benefitting approximately 945 rural residents.",170000,1,TX,DL + TM,Yes
2024,Alabama,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Alabama A&M University,AL0708-B,Grant Funds,,Not Applicable,DLT GRANTS - SUBSTANCE USE DISORDER - MEDICAL,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub site and eight hub/end-user sites throughout Colbert, Fayette, Lawrence, Madison, Marion and Jackson counties in north Alabama with telehealth carts and specialty telemedicine equipment. Medical professionals at Alabama A&M University in Huntsville, Alabama will deliver mental health and SUD services, as well as audiology, psychology and communicative disorders services to eight locations benefiting 15,638 individuals.",988291,1,AL,DL + TM,Yes
2024,Alabama,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Alabama Department of Corrections,AL0762-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub site and seventeen hub/end-user and end-user sites throughout Montgomery, Elmore, Escambia, Limestone, Bibb, Baldwin, Coffee, Barbour, Bullock, Marion, St. Clair, Wilcox, Tallapoosa and Talladega counties in Alabama with The Poly V52 Video Conferencing System. Instructors at Alabama Department of Corrections in Montgomery, Alabama will deliver Career and Technical, Adult Basic Education, Ready to Work and Evidenced Based Instruction and Programs to approximately 15,686 students at seventeen locations.",895786,1,AL,DL + TM,Yes
2024,Alabama,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Attentus Moulton LLC.,AL0761-A,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural development Investment will be used to equip two hub sites, one hub/end-user site and six end-user sites throughout Lawrence, Morgan and Madison Counties in Alabama with upgraded internet bandwidth and connectivity and provide mental health telehealth carts. Medical professionals at Morgan Decatur Hospital and Huntsville Hospital will deliver mental health and other specialty care to seven locations benefitting 33,225 patients. Additional Funding: $9,593.00 Applicant Contribution Dist",54360,1,AL,DL + TM,Yes
2024,Alabama,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Geneva County Board of Education,AL0763-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip nine hub/end-user sites throughout the county of Geneva located in southern Alabama with interactive classroom equipment. The nine educational facilities receiving equipment from this grant will be able to improve delivery of specialized instruction and dual enrollment opportunities for students ranging from elementary school through high school, as well as technical education benefiting approximately 2,700 students and teachers (2,500 students and approximately 200 teachers).",991066,1,AL,DL + TM,Yes
2024,Alabama,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Northeast Alabama Community College,AL0764-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip six hub/end-user sites throughout Dekalb, Marshall and Jackson counties in rural northeast Alabama with state-of-the-art interactive video equipment. Instructors at Northeast Alabama Community College will deliver dual credit and adult education courses, as well as professional development for teachers and telemedicine services. The project will enhance access to quality education and healthcare targeting underserved and rural communities to reduce disparities in service availability. It is expected that this project will facilitate educational and telehealth services to six sites benefiting 6,510 residents.",999633,1,AL,DL + TM,Yes
2024,Alabama,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,University of Alabama,AL0730-E,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip four hub sites and four end-user sites throughout Marengo, Fayette, Pickens and Sumter counties in rural west Alabama with interactive telehealth and distance learning video equipment. Instructors at the University of Alabama in Tuscaloosa, Alabama will deliver telemedicine services and instructional medical content to four rural health locations benefiting approximately 15,906 rural residents.",503466,1,AL,DL + TM,Yes
2024,Alabama,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Tuskegee University,AL0737-B,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help the Tuskegee Empowered and Connected (TEC) Project equip seven hub/end-user sites throughout Macon and Bullock counties in south central Alabama with interactive video conferencing equipment. Instructors at Tuskegee University in Tuskegee, Alabama will deliver dual enrollment, tutoring, test preparation, social justice, continuing and community outreach education and best practices for teaching and learning to seven locations benefiting 5,367 rural residents.",858521,1,AL,DL + TM,Yes
2024,Alaska,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Annette Island School District,AK0744-B,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip three hub/end-user sites in Alaska's, Prince of Wales-Hyder Census Area with integrated interactive displays, cutting-edge video codec systems and personal meeting devices to enhance distance learning experiences. Instructors at Annette Island School District will be able to combat high chronic absenteeism due to the travel and high teacher turnover while continuing to deliver the school district's regular curriculum to the district's three schools benefiting 311 Annette Island School District students.",979921,1,AK,DL + TM,Yes
2024,Alaska,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,"Arctic Slope Native Association, Ltd.",AK0750-B,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip two hub/end-user sites and five end-user sites in North Slope Borough, Alaska with equipment required to begin reducing the inequities in provision of telemedicine. Arctic Slope Native Association Ltd. manages Samuel Simmonds Memorial Hospital (SSMH), a critical access hospital in Utqiagvik. Medical professionals working for SSMH will deliver telemedical services focused on chronic and principal care management to patients located at five l",657823,1,AK,DL + TM,Yes
2024,Alaska,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Inupiat Community of the Arctic Slope,AK0757-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip two hub/end-user sites throughout the North Slope Borough of northern Alaska with distance learning equipment. Instructors at the Qargi Academy with the Inupiat Community of Arctic Slope Tribe will deliver traditional Native Language, Culture, Scientific, Technical, Engineering, Mathematics, Language and Art courses to at least two locations benefiting at least 80 students and rural residents with the goal of expanding student services across Alaska each year.",281996,1,AK,DL + TM,Yes
2024,Alaska,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Lake and Peninsula School District,AK0755-C,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to equip one hub site and 20 hub/end-user sites throughout Matanuska-Susitna Borough, Bristol Bay Borough, Dillingham Census Area and Lake and Peninsula Borough in the Bristol Bay Region of Alaska with distance and in-classroom learning equipment. Instructors at The Bristol Bay Region Career and Technical Education program in Matanuska-Susitna will deliver courses in aviation, business, culinary arts, cultural arts, fisheries, maritime, construction, healthcare, education, informational technology and welding to 21 locations benefiting 1,236 students.",681242,1,AK,DL + TM,Yes
